product name,ratings,date,asin,target
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",2,21/05/2020,B000P22TIY,n
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",5,17/09/2019,B000P22TIY,p
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",4,13/08/2018,B000P22TIY,p
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",5,18/04/2020,B000P22TIY,p
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",1,10/06/2020,B000P22TIY,n
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",5,17/12/2019,B000P22TIY,p
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",5,12/03/2014,B000P22TIY,p
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",5,29/10/2016,B000P22TIY,p
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",5,26/03/2020,B000P22TIY,p
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",5,08/07/2020,B000P22TIY,p
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",5,13/05/2019,B000P22TIY,p
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",5,30/10/2018,B000P22TIY,p
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",5,28/04/2020,B000P22TIY,p
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",5,22/08/2020,B000P22TIY,p
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",5,18/06/2020,B000P22TIY,p
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",4,25/06/2014,B000P22TIY,p
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",5,28/01/2020,B000P22TIY,p
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",1,11/10/2020,B000P22TIY,n
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",1,29/07/2020,B000P22TIY,n
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",2,14/07/2020,B000P22TIY,n
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",3,26/04/2020,B000P22TIY,n
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",3,06/07/2020,B000P22TIY,n
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",1,14/02/2017,B000P22TIY,n
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",1,23/07/2020,B000P22TIY,n
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",3,04/02/2020,B000P22TIY,n
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",5,25/01/2020,B000P22TIY,p
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",5,22/06/2020,B000P22TIY,p
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",5,14/01/2020,B000P22TIY,p
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",4,13/03/2015,B000P22TIY,p
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",5,25/02/2014,B000P22TIY,p
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",1,17/12/2019,B000P22TIY,n
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",5,25/08/2020,B000P22TIY,p
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",5,26/06/2014,B000P22TIY,p
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",5,04/12/2019,B000P22TIY,p
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",1,23/09/2020,B000P22TIY,n
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",2,21/12/2019,B000P22TIY,n
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",5,29/04/2020,B000P22TIY,p
